net,length_um
net246,1.18718mm
net234,1.11706mm
net265,1.03426mm
net292,1.01618mm
_0844_,1.00288mm
net275,981.36µm
net261,976.355µm
_0275_,917.36µm
_0598_,915.5µm
net224,915.375µm
net231,875.38µm
net236,875.07µm
net283,864.68µm
net145,860.44µm
net279,855.575µm
net241,849.51µm
net237,835.81µm
_0517_,796.32µm
net271,787.78µm
_0594_,784.74µm
net235,775.815µm
net81,772.88µm
net191,771.56µm
net190,768.02µm
net189,766.42µm
net294,766.42µm
net146,761.5µm
net233,759µm
net293,754.22µm
net84,735.56µm
net269,735.46µm
_0685_,731.4µm
_1003_,725.52µm
_0274_,723.14µm
_1034_,709.5µm
net266,708.84µm
_0519_,704.15µm
net72,702.78µm
cn_dn\[6\],698.7µm
net257,693.04µm
_0518_,688.23µm
net121,683.98µm
net260,682.95µm
_0880_,664µm
net268,663.4µm
net4,660.36µm
net259,650.77µm
decipher_process,649.2µm
_0964_,647.48µm
net282,646.88µm
net270,646.55µm
_0589_,644.66µm
net97,643.9µm
net232,639.5µm
net281,633.9µm
net242,625.64µm
_0997_,618.6µm
net179,618.28µm
clk,614.97µm
net60,613.82µm
net178,607.36µm
_0623_,607.26µm
net184,604.82µm
_0535_,600.07µm
clknet_0_clk,597.895µm
net164,594.86µm
net174,594.14µm
_0547_,589.81µm
net123,588.54µm
cn_dn\[10\],586.68µm
net256,584.02µm
_1045_,579.42µm
net163,576.08µm
_0576_,551.56µm
net112,547.18µm
net175,538.48µm
net51,530.28µm
net263,530.12µm
net264,526.78µm
_0192_,523.24µm
net126,519.08µm
_0253_,516.62µm
net9,505.72µm
_1099_,487.44µm
net3,486.88µm
net141,486.18µm
net127,485.26µm
net258,485.24µm
_0906_,478.58µm
net278,478.54µm
clknet_4_3__leaf_clk,473.3µm
net262,464.78µm
net49,457.02µm
_0552_,455.46µm
_0907_,451.105µm
_1084_,446.4µm
net255,445.5µm
net66,444.6µm
net267,440.02µm
_0950_,439.66µm
clknet_4_13__leaf_clk,436.695µm
net173,433.22µm
net65,431.66µm
cn_dn\[0\],426.08µm
net142,425.075µm
net124,424.82µm
cn_dn\[14\],416.78µm
net18,412.86µm
net133,411.12µm
clknet_2_2_0_clk,410.35µm
clknet_4_10__leaf_clk,409.8µm
_1085_,406.94µm
clknet_4_12__leaf_clk,405.57µm
net129,401.795µm
_0462_,400.88µm
cn\[8\],396.56µm
_0785_,394.54µm
cn_dn\[27\],393.08µm
_0207_,392.74µm
net240,388.22µm
clknet_2_1_0_clk,385.66µm
clknet_2_3_0_clk,381.5µm
clknet_2_0_0_clk,378.56µm
clknet_4_4__leaf_clk,377.975µm
_0949_,376.36µm
net132,374.92µm
_0978_,369.98µm
net172,369.06µm
net287,366.2µm
_0784_,364.06µm
net277,360.76µm
cn_dn\[17\],360.36µm
_0521_,357.6µm
_0850_,355.405µm
cn_dn\[20\],349.7µm
_0165_,347.62µm
net128,344.56µm
_0852_,336.92µm
net274,335.66µm
clknet_4_7__leaf_clk,330.5µm
net253,327.48µm
clknet_4_15__leaf_clk,324.48µm
net181,323.66µm
net280,321.1µm
net254,319.7µm
_0666_,316.76µm
_0586_,315.82µm
clknet_4_11__leaf_clk,309.52µm
net137,305.96µm
clknet_4_0__leaf_clk,304.71µm
net272,299.9µm
net77,295µm
_0470_,286.34µm
net58,286.06µm
clknet_4_9__leaf_clk,285.62µm
net159,285.08µm
net286,284.96µm
clknet_4_1__leaf_clk,278.72µm
net167,277.94µm
cn_dn\[3\],274.84µm
_0191_,272.26µm
clknet_4_6__leaf_clk,270.54µm
clknet_3_5_0_clk,270.14µm
_0760_,269.42µm
_0838_,267.34µm
clknet_3_0_0_clk,266.88µm
_0553_,266.04µm
clknet_3_4_0_clk,265.68µm
clknet_3_2_0_clk,263.88µm
net40,262.83µm
_0267_,260.51µm
cn_dn\[24\],257.98µm
net80,256.66µm
cn\[7\],255µm
net285,252.08µm
cn_dn\[7\],251.76µm
clknet_3_7_0_clk,251.76µm
_1096_,251.22µm
cn\[22\],246.74µm
_0830_,246.38µm
net36,242.78µm
net243,241.88µm
clknet_4_5__leaf_clk,240.66µm
_0245_,240.56µm
net221,240.03µm
net44,237.38µm
_0144_,236.04µm
net251,232.68µm
net69,231.58µm
cn\[11\],231.28µm
_0853_,230.825µm
_0753_,229.2µm
clknet_4_14__leaf_clk,228.28µm
net250,225.02µm
_0769_,224.82µm
net22,221.82µm
clknet_3_3_0_clk,221.64µm
net219,220.98µm
_1070_,220.63µm
_0752_,219.2µm
net117,216.4µm
cn\[14\],214.06µm
net239,211.66µm
clknet_4_8__leaf_clk,208.76µm
net220,202.9µm
_0587_,202.72µm
cn\[15\],202.24µm
net222,200.04µm
_0588_,198.4µm
clknet_4_2__leaf_clk,197.92µm
net230,197.6µm
cn\[12\],196.9µm
net288,196.74µm
_0268_,196.52µm
net95,195.78µm
net284,193.54µm
net290,193.26µm
net247,193.135µm
net291,192.95µm
_0520_,191.92µm
net88,190.62µm
net214,190.18µm
_0837_,189.98µm
_0885_,189.38µm
cn\[4\],189.24µm
cn_dn\[22\],188.42µm
_0478_,188.02µm
_0714_,187.74µm
clknet_3_6_0_clk,187.18µm
net273,184.76µm
net5,183.22µm
net215,180.04µm
net217,179.16µm
cn\[17\],178.88µm
_0522_,178.49µm
net109,178.44µm
_0797_,177.25µm
net238,177.25µm
net102,177.14µm
net245,175.79µm
net216,175.1µm
net94,174.88µm
net252,174.77µm
_0270_,174.365µm
net118,171.86µm
net14,171.08µm
net249,169.56µm
net110,169.4µm
net227,169.16µm
_0665_,168.95µm
net115,167.44µm
_0798_,166.92µm
_0664_,165.5µm
_0523_,164.62µm
net168,164.02µm
_0472_,162.4µm
_0524_,161.64µm
_0720_,161.58µm
clknet_3_1_0_clk,161.4µm
net225,161.175µm
net160,160.22µm
_0800_,157.92µm
cn\[23\],155.98µm
net276,155.88µm
net211,155.64µm
net73,155.26µm
_0474_,154.22µm
net103,153.6µm
net229,152.82µm
_0705_,150.24µm
_0627_,149.66µm
_1069_,148.5µm
net76,148.46µm
cn_dn\[12\],146.02µm
cn_dn\[15\],145.22µm
_0219_,144.46µm
net93,143.76µm
_0667_,143.67µm
_0787_,143.41µm
_0230_,141.38µm
net171,139.28µm
_0834_,138.135µm
net101,137.8µm
_0525_,137.595µm
net213,137.58µm
_0640_,137.34µm
_0833_,137.225µm
net138,137.08µm
_0630_,136.1µm
net116,135.46µm
_0801_,135.26µm
_0531_,135.12µm
net170,135.06µm
net104,135µm
_0133_,134.4µm
_0693_,133.98µm
_0529_,133.76µm
_0802_,133.28µm
net89,132µm
_0530_,131.86µm
net70,130.36µm
net78,130.26µm
_0556_,129.76µm
_0269_,129.38µm
_0789_,129.24µm
cn_dn\[25\],129.06µm
_0694_,128.24µm
_0663_,127.71µm
cn_dn\[19\],127.42µm
net228,125.78µm
_0716_,125.675µm
net87,125.44µm
_0551_,123.48µm
_0366_,123.34µm
_0402_,123.34µm
_0704_,123.21µm
_0791_,122.24µm
_0842_,122.2µm
net85,121.84µm
_0629_,121.68µm
_0762_,121.58µm
_0534_,121.26µm
_0353_,121.1µm
_0465_,120.99µm
_0751_,120.8µm
_0790_,120.08µm
cn\[1\],119.48µm
net111,119.08µm
net79,118.96µm
_0662_,118.4µm
net92,118.32µm
net182,118.1µm
_0201_,117.96µm
_0306_,117.91µm
key_process,117.02µm
net192,116.44µm
cn_dn\[11\],116.31µm
net289,116.18µm
net209,115.62µm
_0528_,115.22µm
_0549_,114.54µm
net226,114.44µm
net108,113.78µm
_0282_,113.17µm
net143,112.98µm
_0386_,112.4µm
_0759_,112.38µm
net122,111.64µm
net119,111µm
cn\[0\],110.9µm
_0639_,110.78µm
_0446_,110.6µm
_0887_,110.14µm
_0350_,110.09µm
_0645_,109.865µm
_0700_,109.82µm
_0721_,109.72µm
_0565_,109.625µm
_0458_,108.82µm
net218,108.72µm
net100,108.06µm
_0143_,107.16µm
_0843_,107µm
net197,106.34µm
_0855_,106.33µm
_0901_,106.32µm
cn_dn\[4\],106.12µm
net120,105.34µm
_0628_,104.94µm
_0646_,104.74µm
_0723_,104.11µm
_0746_,104.1µm
_0893_,104.06µm
_0683_,103.54µm
_0771_,103.26µm
net114,102.94µm
_0271_,102.62µm
net248,102.14µm
_0648_,101.7µm
_0643_,101.62µm
net193,101.46µm
_0840_,100.9µm
_0454_,100.02µm
_0582_,99.53µm
_0638_,99.44µm
_0839_,98.84µm
_0936_,98.62µm
net212,98.06µm
net185,97.72µm
_0414_,97.6µm
cn_dn\[16\],97.48µm
_0758_,97.34µm
_0480_,97.26µm
_0854_,97.14µm
cn\[13\],96.92µm
net201,96.88µm
net134,96.42µm
_0358_,96.36µm
_0280_,95.94µm
net71,94.98µm
cn_dn\[23\],94.96µm
net198,94.58µm
_0310_,94.52µm
_0717_,93.59µm
net206,93.27µm
cn\[26\],92.98µm
_0294_,92.96µm
_0362_,92.3µm
net205,92.095µm
_0788_,91.3µm
_0631_,91.28µm
cn_dn\[9\],90.88µm
_0590_,90.69µm
_0767_,90.65µm
_0829_,90.12µm
net202,89.92µm
_0770_,89.9µm
net130,89.34µm
_0388_,89.22µm
_0370_,88.84µm
_0276_,88.76µm
_0626_,88.64µm
cn_dn\[26\],87.52µm
_0541_,87.38µm
_1058_,87.3µm
net200,87.295µm
net194,87.2µm
net86,86.8µm
net244,86.54µm
_0641_,86.1µm
cn\[25\],86µm
net199,85.53µm
_0951_,85.46µm
_0806_,85.12µm
_0610_,85.04µm
_0550_,84.84µm
_0809_,84.78µm
_0418_,84.32µm
net152,84.06µm
_0718_,83.94µm
net91,83.46µm
net210,83.38µm
_0346_,83.06µm
cn\[2\],82.3µm
_0642_,81.88µm
_0516_,81.62µm
net11,81.12µm
_0334_,80.58µm
_0155_,80.22µm
_0808_,79.38µm
encipher_process,79.34µm
cn_dn\[1\],79.3µm
_0426_,79.1µm
_0624_,79.02µm
rcounter\[0\],78.96µm
_0883_,78.92µm
_0910_,78.44µm
_0672_,78.34µm
cn\[27\],78.11µm
_0805_,77.98µm
_0900_,77.18µm
_0387_,76.94µm
cn\[24\],76.72µm
_0765_,76.36µm
_0607_,76.12µm
cn\[18\],75.9µm
cn\[9\],75.9µm
cn\[21\],75.64µm
net140,75.08µm
net13,74.98µm
_0692_,74.4µm
_0778_,73.555µm
_0298_,73.535µm
net74,73.46µm
_0487_,73.4µm
_0180_,73.28µm
_0302_,73.12µm
net154,73.12µm
_0779_,72.98µm
_0254_,72.76µm
_0745_,72.74µm
_0909_,72.72µm
_0405_,72.3µm
_0596_,72.22µm
_0469_,72.18µm
_0591_,71.95µm
_0289_,71.86µm
net195,71.76µm
net98,71.56µm
_0434_,71.1µm
_0952_,70.96µm
_0314_,70.735µm
cn\[16\],70.66µm
_0580_,70.2µm
net135,69.88µm
_0803_,69.68µm
net165,69.36µm
_0719_,69.34µm
net90,69.26µm
_0889_,69.08µm
_0915_,68.78µm
_0286_,68.74µm
_0761_,68.58µm
_0544_,68.42µm
_0794_,68.32µm
_0892_,68.18µm
_0652_,68.06µm
_0601_,67.88µm
_0804_,67.7µm
net147,67.54µm
_0636_,67.44µm
net99,67.32µm
net203,67.21µm
net113,66.36µm
_0795_,66.28µm
_0848_,66.08µm
net149,66.04µm
_0695_,65.54µm
net7,65.44µm
_0259_,65.28µm
_0566_,65.2µm
_0774_,65.18µm
net186,65.12µm
_0766_,65.06µm
_0908_,64.94µm
net30,64.78µm
net207,64.7µm
cn\[5\],64.66µm
_0599_,64.64µm
_0911_,64.41µm
net57,64.24µm
_0894_,64.14µm
net176,64.04µm
_0482_,63.88µm
_0670_,63.84µm
_0342_,63.82µm
_0533_,63.82µm
_1006_,63.46µm
_0793_,63.18µm
_1035_,63.1µm
net158,63.015µm
_0731_,62.38µm
_0846_,62.32µm
cn_dn\[5\],62.2µm
_0902_,61.955µm
_1097_,61.86µm
_0338_,61.48µm
_0792_,61.24µm
_0379_,61.2µm
_0898_,61.2µm
net157,61.2µm
net67,61.08µm
net43,61.04µm
_0585_,60.96µm
net68,60.88µm
_0913_,60.84µm
_0527_,60.8µm
_0691_,60.74µm
_0398_,60.68µm
net187,60.58µm
_0526_,60.45µm
_0548_,60.24µm
_0637_,59.68µm
_0757_,59.62µm
_0956_,58.995µm
_0755_,58.96µm
_1059_,58.9µm
_0385_,58.88µm
_0724_,58.76µm
net144,58.72µm
net166,58.68µm
_0904_,58.56µm
_0772_,58.42µm
_0835_,58.38µm
net83,58.38µm
_0611_,58.29µm
net35,58.12µm
net139,58.1µm
net45,57.96µm
_0532_,57.78µm
_0965_,57.74µm
_0896_,57.71µm
net156,57.52µm
cn_dn\[8\],57.32µm
_0330_,57.24µm
net75,57µm
net107,56.74µm
_0562_,56.64µm
net169,56.56µm
_0921_,56.52µm
net188,56.38µm
net96,55.84µm
_0729_,55.74µm
_0166_,55.42µm
_0374_,55.38µm
_0644_,55.22µm
_0891_,55.18µm
_0554_,54.96µm
_0922_,54.78µm
net47,54.72µm
net155,54.58µm
net61,54.56µm
_0410_,54.42µm
_0739_,54.34µm
net148,54.22µm
net223,54.16µm
_0262_,54.1µm
net20,54.1µm
_0486_,53.8µm
_0884_,53.54µm
_0822_,53.18µm
_0821_,53.09µm
_0422_,52.82µm
net177,52.8µm
_0817_,52.63µm
net125,52.56µm
net151,52.5µm
_0595_,52.49µm
_0592_,52.395µm
_0114_,52.32µm
_0653_,52.3µm
_0990_,52.26µm
net55,51.86µm
_0600_,51.84µm
_0881_,51.58µm
_1004_,51.52µm
_0849_,51.36µm
net17,51.18µm
_0613_,51.14µm
cn\[20\],51.14µm
_0381_,50.98µm
_0442_,50.6µm
_0113_,50.58µm
net136,50.5µm
_0593_,50.06µm
_0318_,50.04µm
net82,49.98µm
_0157_,49.88µm
net8,49.2µm
_0539_,49.09µm
_0827_,48.915µm
net54,48.88µm
net31,48.72µm
rcounter\[1\],48.66µm
_0233_,48.58µm
_0890_,48.14µm
_0169_,47.94µm
_0257_,47.92µm
net153,47.9µm
_0932_,47.72µm
_0392_,47.68µm
_0775_,47.32µm
_0726_,47.2µm
_0668_,46.88µm
_0450_,46.86µm
_0602_,46.86µm
_0748_,46.56µm
_0979_,46.38µm
net59,46.08µm
_0117_,46.06µm
_0824_,45.82µm
net131,45.8µm
net48,45.54µm
_0868_,45.46µm
_0981_,45.42µm
_0616_,45.4µm
net106,45.36µm
_0983_,44.78µm
_1046_,44.78µm
_0715_,44.72µm
net161,44.56µm
_0110_,44.5µm
_0543_,44.5µm
_0208_,44.46µm
_0429_,44.36µm
net105,44.34µm
_0220_,44.32µm
_0256_,44.3µm
_0438_,44.18µm
_0263_,44.16µm
_0633_,44.12µm
_0326_,44.1µm
_0577_,44µm
net50,43.68µm
_0231_,43.4µm
_0365_,43.32µm
_0845_,43.32µm
_0856_,43.21µm
_0277_,42.84µm
_0649_,42.84µm
_0394_,42.82µm
_0606_,42.68µm
_0546_,42.62µm
_0377_,42.48µm
net39,42.42µm
_0709_,42.12µm
_0712_,42µm
net196,41.7µm
_0363_,41.68µm
_0635_,41.66µm
net208,41.66µm
_0708_,41.62µm
_0847_,41.62µm
_0285_,41.44µm
_0750_,41.42µm
_0537_,41.38µm
_0291_,41.16µm
_1014_,41.16µm
_0971_,41µm
_1075_,41µm
_0148_,40.96µm
_0255_,40.92µm
_0961_,40.73µm
_0634_,40.66µm
_0736_,40.52µm
_0944_,40.39µm
_0756_,40.38µm
_1025_,40.34µm
net21,40.24µm
_0786_,39.84µm
_0999_,39.7µm
_0376_,39.46µm
_0658_,39.34µm
_0703_,39.34µm
_0632_,39.06µm
net180,38.94µm
_0858_,38.89µm
_0359_,38.78µm
_0707_,38.76µm
_0742_,38µm
_0701_,37.94µm
_0713_,37.94µm
_0109_,37.92µm
net2,37.9µm
_0689_,37.78µm
_0675_,37.64µm
_0121_,37.28µm
_0905_,37.02µm
_0456_,36.6µm
_0202_,36.58µm
_0316_,36.5µm
_0992_,36.28µm
net1,36.2µm
_0416_,35.88µm
net162,35.76µm
rcounter\[2\],35.64µm
net41,35.4µm
_0432_,35.38µm
_0930_,35.14µm
_0246_,35.12µm
_0676_,35.08µm
_0895_,34.96µm
_0179_,34.86µm
_0197_,34.7µm
_0501_,34.62µm
_0369_,34.6µm
_0301_,34.52µm
net29,34.42µm
_0878_,34.38µm
_0564_,34.36µm
_0823_,34.345µm
net46,34.34µm
_1029_,34.3µm
_0937_,34.2µm
_0764_,34.18µm
_0134_,33.96µm
_0500_,33.7µm
_0484_,33.58µm
_0360_,33.5µm
net56,33.35µm
_0660_,33.32µm
_0865_,33.28µm
_0216_,33.16µm
_0687_,32.96µm
_0914_,32.94µm
_0923_,32.94µm
_0912_,32.92µm
_0866_,32.76µm
_0749_,32.62µm
_0690_,32.6µm
net150,32.56µm
_0966_,32.52µm
_0877_,32.49µm
_0322_,32.46µm
_0710_,32.26µm
_0153_,32.24µm
_0783_,32.2µm
_0490_,31.94µm
net42,31.88µm
_0509_,31.86µm
_0141_,31.82µm
_0510_,31.78µm
_0540_,31.78µm
_0897_,31.78µm
_1023_,31.78µm
cn_dn\[2\],31.78µm
_0145_,31.76µm
_0479_,31.64µm
_0743_,31.5µm
net34,31.44µm
_0226_,31.24µm
_1042_,31.18µm
_0903_,31.16µm
_0655_,31.08µm
net204,30.885µm
_0882_,30.76µm
_0324_,30.64µm
_0871_,30.58µm
_0312_,30.52µm
_0504_,30.4µm
_0194_,30.24µm
_0204_,30.2µm
_0247_,30.2µm
_0661_,30.18µm
_0819_,30.18µm
_0477_,30.16µm
_0933_,30.155µm
_0371_,30.08µm
_0403_,30.02µm
_1030_,29.98µm
_0193_,29.94µm
_0747_,29.9µm
_0810_,29.9µm
_0295_,29.84µm
_0138_,29.82µm
_1087_,29.78µm
_0754_,29.74µm
_0468_,29.68µm
_0502_,29.64µm
_0101_,29.58µm
_1019_,29.54µm
_0467_,29.46µm
_0391_,29.44µm
net52,29.28µm
_0869_,29.22µm
_0993_,29.105µm
_0702_,28.98µm
_0412_,28.7µm
_0499_,28.64µm
_0557_,28.6µm
_0190_,28.58µm
cn\[3\],28.56µm
_1054_,28.5µm
_0409_,28.48µm
rcounter\[3\],28.46µm
_0463_,28.24µm
_0299_,28.22µm
_0597_,28.22µm
_0722_,28.015µm
_0415_,28µm
_0832_,27.88µm
_0384_,27.86µm
_0496_,27.76µm
_0899_,27.72µm
_0445_,27.64µm
_0816_,27.64µm
_0954_,27.64µm
_0508_,27.6µm
_0650_,27.58µm
_0156_,27.56µm
_0309_,27.48µm
net37,27.46µm
cn_dn\[21\],27.42µm
net23,27.42µm
_0874_,27.34µm
_0436_,27.3µm
_0998_,27.26µm
